Name,Status,Launch Service Provider,Rocket,Mission,Net,Pad
Falcon 9 Block 5 | Axiom Space Mission 2,Launch Successful,SpaceX,Falcon 9,Axiom Space Mission 2,05/21/2023 5:37 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA"
Soyuz 2.1a | Progress MS-23 (84P),Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz 2.1a,Progress MS-23 (84P),05/24/2023 8:56 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Nuri | NEXTSat-2 & SNIPE,Launch Successful,Korea Aerospace Research Institute,Nuri,NEXTSat-2 & SNIPE,05/25/2023 5:24 a.m.,"LC-2 | Naro Space Center, South Korea"
SpaceShipTwo | VSS Unity 25,Launch Successful,Virgin Galactic,SpaceShipTwo,VSS Unity 25,05/25/2023 12:23 p.m.,Spaceport America | Air launch to Suborbital flight
Electron | Coming To A Storm Near You (TROPICS-3),Launch Successful,Rocket Lab,Electron,TROPICS-3,05/25/2023 11:46 p.m.,"Rocket Lab Launch Complex 1B | Onenui Station, Mahia Peninsula, New Zealand"
Soyuz 2.1a/Fregat-M | Kondor-FKA No.1,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz 2.1a/Fregat-M,Kondor-FKA No.1,05/26/2023 5:14 p.m.,"Cosmodrome Site 1S | Vostochny Cosmodrome, Siberia, Russian Federation"
Falcon 9 Block 5 | BADR-8,Launch Successful,SpaceX,Falcon 9,BADR-8,05/27/2023 12:30 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
GSLV Mk II | IRNSS-1J (NVS-01),Launch Successful,Indian Space Research Organization,GSLV Mk II,IRNSS-1J (NVS-01),05/29/2023 1:12 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India"
Long March 2F/G | Shenzhou 16,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2,Shenzhou 16,05/29/2023 9:31 p.m.,"Launch Area 4 (SLS-1 / 921) | Jiuquan Satellite Launch Center, People's Republic of China"
Chollima-1 | Malligyong-1a,Launch Failure,National Aerospace Development Administration,Chollima-1,Malligyong-1a,05/30/2023 5:27 p.m.,"Malligyong-1 Pad | Sohae Satellite Launching Station, Cholsan County, North Pyongan Province, Democratic People's Republic of Korea"
Falcon 9 Block 5 | Starlink Group 2-10,Launch Successful,SpaceX,Falcon 9,Starlink Group 2-10,05/31/2023 2:02 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA"
Falcon 9 Block 5 | Starlink Group 6-4,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-4,06/04/2023 8:20 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Falcon 9 Block 5 | Dragon CRS-2 SpX-28,Launch Successful,SpaceX,Falcon 9,Dragon CRS-2 SpX-28,06/05/2023 11:47 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA"
Kinetica 1 | Flight 2,Launch Successful,CAS Space,Kinetica 1,Flight 2,06/07/2023 12:10 a.m.,"Launch Area 130 | Jiuquan Satellite Launch Center, People's Republic of China"
Kuaizhou-1A | Longjiang 3,Launch Successful,ExPace,Kuaizhou,Longjiang 3,06/08/2023 10:35 p.m.,"Launch Area 95A | Jiuquan Satellite Launch Center, People's Republic of China"
Falcon 9 Block 5 | Starlink Group 5-11,Launch Successful,SpaceX,Falcon 9,Starlink Group 5-11,06/12/2023 3:10 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Falcon 9 Block 5 | Transporter 8 (Dedicated SSO Rideshare),Launch Successful,SpaceX,Falcon 9,Transporter 8 (Dedicated SSO Rideshare),06/12/2023 5:35 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA"
Long March 2D | 41 x Jilin-1,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2D,41 x Jilin-1,06/15/2023 1:30 a.m.,"Launch Complex 9 | Taiyuan Satellite Launch Center, People's Republic of China"
HASTE | Scout's Arrow (DYNAMO-A),Launch Successful,Rocket Lab,Electron,Scout's Arrow (DYNAMO-A),06/17/2023 9:24 p.m.,"Rocket Lab Launch Complex 2 (Launch Area 0 C) | Wallops Island, Virginia, USA"
Falcon 9 Block 5 | Satria-1,Launch Successful,SpaceX,Falcon 9,Satria-1,06/18/2023 6:21 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Long March 6 | Shiyan 25,Launch Successful,China Aerospace Science and Technology Corporation,Long March 6,Shiyan 25,06/19/2023 11:18 p.m.,"Launch Complex 16 | Taiyuan Satellite Launch Center, People's Republic of China"
Falcon 9 Block 5 | Starlink Group 5-7,Launch Successful,SpaceX,Falcon 9,Starlink Group 5-7,06/22/2023 3:19 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA"
